data,in_date,type,country,department,municipality
0,2020-03-10,Confirmados,Bolivia,All,All
1,2020-03-11,Confirmados,Bolivia,All,All
0,2020-03-12,Confirmados,Bolivia,All,All
7,2020-03-13,Confirmados,Bolivia,All,All
0,2020-03-14,Confirmados,Bolivia,All,All
1,2020-03-15,Confirmados,Bolivia,All,All
0,2020-03-16,Confirmados,Bolivia,All,All
1,2020-03-17,Confirmados,Bolivia,All,All
0,2020-03-18,Confirmados,Bolivia,All,All
4,2020-03-19,Confirmados,Bolivia,All,All
3,2020-03-20,Confirmados,Bolivia,All,All
1,2020-03-21,Confirmados,Bolivia,All,All
7,2020-03-22,Confirmados,Bolivia,All,All
1,2020-03-23,Confirmados,Bolivia,All,All
4,2020-03-24,Confirmados,Bolivia,All,All
7,2020-03-25,Confirmados,Bolivia,All,All
22,2020-03-26,Confirmados,Bolivia,All,All
13,2020-03-27,Confirmados,Bolivia,All,All
7,2020-03-28,Confirmados,Bolivia,All,All
15,2020-03-29,Confirmados,Bolivia,All,All
11,2020-03-30,Confirmados,Bolivia,All,All
8,2020-03-31,Confirmados,Bolivia,All,All
8,2020-04-01,Confirmados,Bolivia,All,All
9,2020-04-02,Confirmados,Bolivia,All,All
7,2020-04-03,Confirmados,Bolivia,All,All
18,2020-04-04,Confirmados,Bolivia,All,All
26,2020-04-05,Confirmados,Bolivia,All,All
11,2020-04-06,Confirmados,Bolivia,All,All
16,2020-04-07,Confirmados,Bolivia,All,All
54,2020-04-08,Confirmados,Bolivia,All,All
4,2020-04-09,Confirmados,Bolivia,All,All
7,2020-04-10,Confirmados,Bolivia,All,All
25,2020-04-11,Confirmados,Bolivia,All,All
30,2020-04-12,Confirmados,Bolivia,All,All
24,2020-04-13,Confirmados,Bolivia,All,All
43,2020-04-14,Confirmados,Bolivia,All,All
44,2020-04-15,Confirmados,Bolivia,All,All
24,2020-04-16,Confirmados,Bolivia,All,All
28,2020-04-17,Confirmados,Bolivia,All,All
27,2020-04-18,Confirmados,Bolivia,All,All
44,2020-04-19,Confirmados,Bolivia,All,All
34,2020-04-20,Confirmados,Bolivia,All,All
11,2020-04-21,Confirmados,Bolivia,All,All
63,2020-04-22,Confirmados,Bolivia,All,All
31,2020-04-23,Confirmados,Bolivia,All,All
104,2020-04-24,Confirmados,Bolivia,All,All
